What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Independent University  Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,No,worried,Strongly agree,No,Yes
Independent University  Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,No,No,Yes,Yes,Not worried,Agree,Sometimes,Maybe
Independent University  Bangladesh,Postgraduate,Never,It has had no impact on teaching methods,No,No,No,No,No,worried,Neutral,Yes,No
Independent University  Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Not worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Never,It has improved teaching methods significantly,Yes,Sometime,No,No,No,Not worried,Neutral,No,Maybe
Stamford University Bangladesh,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Not Sure,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,worried,Disagree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,No,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Monthly,It has slightly improved teaching methods,Not Sure,Sometime,Yes,Yes,Not Sure,Somewhat worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Never,It has had no impact on teaching methods,No,No,No,No,No,worried,Disagree,Yes,No
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Disagree,Sometimes,Maybe
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,No,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Somewhat worried,Agree,No,Maybe
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Not Sure,Not Sure,Somewhat worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,No,Yes,Yes,Somewhat worried,Agree,Yes,No
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,No,Maybe
Stamford University Bangladesh,Undergraduate,Never,It has had no impact on teaching methods,No,No,No,Not Sure,Not Sure,worried,Strongly disagree,No,No
Stamford University Bangladesh,Undergraduate,Never,It has slightly improved teaching methods,Not Sure,Sometime,No,No,No,worried,Strongly agree,Yes,No
Stamford University Bangladesh,Undergraduate,Monthly,It has had no impact on teaching methods,Not Sure,Yes,Not Sure,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Stamford University Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Not Sure,worried,Neutral,Yes,Maybe
Stamford University Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Maybe
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,worried,Strongly disagree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,Somewhat worried,Agree,No,Yes
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly disagree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Disagree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Not Sure,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Never,It has had no impact on teaching methods,No,No,No,No,No,Not worried,Neutral,No,No
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,No,Yes,No,Somewhat worried,Strongly disagree,No,No
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,No,worried,Strongly disagree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Not worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Maybe
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Yes,Maybe
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,No,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Not worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Stamford University Bangladesh,Undergraduate,Never,It has had no impact on teaching methods,Not Sure,No,No,Not Sure,Not Sure,Not worried,Strongly disagree,No,No
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,Not worried,Agree,Sometimes,No
Stamford University Bangladesh,Undergraduate,Never,It has slightly improved teaching methods,Not Sure,No,Not Sure,No,Not Sure,Somewhat worried,Agree,Yes,Maybe
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,No,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Neutral,Sometimes,Maybe
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Not Sure,Not Sure,worried,Neutral,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,No,Maybe
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
 Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Disagree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Neutral,No,Maybe
Stamford University Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Stamford University Bangladesh,Postgraduate,Monthly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,worried,Neutral,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,worried,Agree,Sometimes,Maybe
Stamford University Bangladesh,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Agree,Yes,Maybe
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Stamford University Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Not worried,Strongly agree,Sometimes,Maybe
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Neutral,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,No,Yes,Yes,worried,Neutral,No,Maybe
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,No,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Never,It has had no impact on teaching methods,Yes,No,Yes,No,Yes,worried,Agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,worried,Disagree,Sometimes,Yes
Daffodil international University ,Undergraduate,Never,It has had no impact on teaching methods,No,No,Not Sure,No,Not Sure,Not worried,Strongly disagree,No,No
Daffodil international University ,Undergraduate,Never,It has slightly improved teaching methods,No,No,No,No,Not Sure,Not worried,Neutral,No,No
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,No,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Never,It has improved teaching methods significantly,Not Sure,No,No,Not Sure,No,Not worried,Neutral,No,No
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,No,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Not Sure,Yes,Yes,worried,Disagree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Not Sure,Yes,Not Sure,worried,Strongly disagree,Sometimes,Maybe
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Not Sure,Yes,worried,Strongly agree,No,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Not Sure,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
